               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078366,            0.041939,            0.024079,             0.87105,             0.14512,             0.13938,            0.056216,            0.054556,            0.026697,            0.015981,            0.070147,            0.003317,            0.003317
                   1,            0.059544,            0.029376,            0.015749,              0.6199,             0.26318,             0.17701,            0.080368,            0.049359,            0.022023,            0.014387,            0.040015,           0.0065187,           0.0065187
                   2,            0.052964,            0.026672,            0.012253,             0.75091,             0.29417,             0.23951,             0.11621,            0.042104,            0.020126,           0.0085741,           0.0097517,           0.0095883,           0.0095883
                   3,            0.045524,             0.02567,           0.0089788,             0.89077,             0.33775,             0.37438,             0.19946,            0.038762,            0.019299,           0.0067086,            0.009406,            0.009406,            0.009406
                   4,            0.041131,            0.025153,           0.0070534,              0.9087,             0.34838,             0.42196,             0.23503,            0.033295,            0.018508,           0.0052864,            0.009406,            0.009406,            0.009406
                   5,            0.037345,            0.024462,            0.006528,             0.91507,             0.36692,             0.40901,             0.24069,            0.030557,            0.018478,           0.0053415,            0.009208,            0.009208,            0.009208
                   6,            0.036159,            0.023597,           0.0063583,             0.74899,             0.48116,             0.49497,             0.29523,            0.029854,            0.017729,           0.0045455,             0.00901,             0.00901,             0.00901
                   7,            0.034396,            0.022862,           0.0059951,             0.81788,             0.52581,             0.56031,             0.34168,            0.028135,            0.017737,           0.0045178,            0.008812,            0.008812,            0.008812
                   8,            0.034045,            0.022631,           0.0054411,              0.8046,             0.53126,             0.58393,             0.34938,            0.027881,            0.017094,           0.0039389,            0.008614,            0.008614,            0.008614
                   9,            0.032449,            0.022428,           0.0048502,             0.82926,             0.52514,              0.5698,             0.31765,            0.027915,            0.017228,           0.0039142,            0.008416,            0.008416,            0.008416
                  10,            0.031977,            0.022401,           0.0045785,             0.81403,             0.54976,             0.61319,             0.35739,            0.025347,            0.016381,           0.0032314,            0.008218,            0.008218,            0.008218
                  11,            0.031049,            0.022137,           0.0045268,             0.74681,             0.54637,             0.58078,             0.34659,            0.026252,            0.016303,           0.0031264,             0.00802,             0.00802,             0.00802
                  12,            0.030507,            0.021502,           0.0043562,             0.78741,             0.58466,             0.64899,             0.38771,             0.02437,            0.015852,           0.0032754,            0.007822,            0.007822,            0.007822
                  13,            0.029443,            0.021005,            0.003951,             0.73082,             0.60935,             0.64481,             0.38197,            0.024375,            0.015706,           0.0027659,            0.007624,            0.007624,            0.007624
                  14,            0.029594,            0.021313,           0.0041921,             0.69055,             0.64083,             0.65587,             0.38795,            0.023994,            0.015434,            0.002637,            0.007426,            0.007426,            0.007426
